resultId,raceId,year,circuitId,circuit_name,circuit_difficulty,driverId,driver_name,constructorId,constructor_name,starting_grid,final_position,points,pit_stops,pit_stop_lap,pit_stop_duration,fastestLapTime,fastestLapSpeed,statusId,race_status
57,20,2008,3,Bahrain Grand Prix,Easy,1,hamilton,1,mclaren,3,13,0,#N/A,#N/A,#N/A,01:35.5,203.969,11,+1 Lap
58,20,2008,3,Bahrain Grand Prix,Easy,6,nakajima,3,williams,16,14,0,#N/A,#N/A,#N/A,01:35.4,204.155,11,+1 Lap
59,20,2008,3,Bahrain Grand Prix,Easy,7,bourdais,5,toro_rosso,15,15,0,#N/A,#N/A,#N/A,01:35.3,204.369,11,+1 Lap
60,20,2008,3,Bahrain Grand Prix,Easy,19,davidson,8,super_aguri,21,16,0,#N/A,#N/A,#N/A,01:35.3,204.389,11,+1 Lap
61,20,2008,3,Bahrain Grand Prix,Easy,11,sato,8,super_aguri,22,17,0,#N/A,#N/A,#N/A,01:35.9,203.18,11,+1 Lap
62,20,2008,3,Bahrain Grand Prix,Easy,14,coulthard,9,red_bull,17,18,0,#N/A,#N/A,#N/A,01:35.4,204.331,11,+1 Lap
63,20,2008,3,Bahrain Grand Prix,Easy,16,sutil,10,force_india,20,19,0,#N/A,#N/A,#N/A,01:35.4,204.136,12,+2 Laps
64,20,2008,3,Bahrain Grand Prix,Easy,12,piquet_jr,4,renault,14,20,0,#N/A,#N/A,#N/A,01:35.1,204.808,6,Gearbox
65,20,2008,3,Bahrain Grand Prix,Easy,18,button,11,honda,9,21,0,#N/A,#N/A,#N/A,01:36.1,202.686,4,Collision
66,20,2008,3,Bahrain Grand Prix,Easy,20,vettel,5,toro_rosso,19,22,0,#N/A,#N/A,#N/A,\N,\N,5,Engine
67,21,2008,4,Spanish Grand Prix,Medium,8,raikkonen,6,ferrari,1,1,10,#N/A,#N/A,#N/A,01:21.7,205.191,1,Finished
68,21,2008,4,Spanish Grand Prix,Medium,13,massa,6,ferrari,3,2,8,#N/A,#N/A,#N/A,01:21.8,204.863,1,Finished
69,21,2008,4,Spanish Grand Prix,Medium,1,hamilton,1,mclaren,5,3,6,#N/A,#N/A,#N/A,01:22.0,204.323,1,Finished
70,21,2008,4,Spanish Grand Prix,Medium,9,kubica,2,bmw_sauber,4,4,5,#N/A,#N/A,#N/A,01:22.1,204.102,1,Finished
71,21,2008,4,Spanish Grand Prix,Medium,17,webber,9,red_bull,7,5,4,#N/A,#N/A,#N/A,01:22.6,202.969,1,Finished
72,21,2008,4,Spanish Grand Prix,Medium,18,button,11,honda,13,6,3,#N/A,#N/A,#N/A,01:22.4,203.489,1,Finished
73,21,2008,4,Spanish Grand Prix,Medium,6,nakajima,3,williams,12,7,2,#N/A,#N/A,#N/A,01:23.5,200.576,1,Finished
74,21,2008,4,Spanish Grand Prix,Medium,15,trulli,7,toyota,8,8,1,#N/A,#N/A,#N/A,01:22.8,202.494,1,Finished
75,21,2008,4,Spanish Grand Prix,Medium,2,heidfeld,2,bmw_sauber,9,9,0,#N/A,#N/A,#N/A,01:22.5,203.08,1,Finished
76,21,2008,4,Spanish Grand Prix,Medium,21,fisichella,10,force_india,19,10,0,#N/A,#N/A,#N/A,01:23.4,200.841,11,+1 Lap
77,21,2008,4,Spanish Grand Prix,Medium,10,glock,7,toyota,14,11,0,#N/A,#N/A,#N/A,01:23.0,201.886,11,+1 Lap
78,21,2008,4,Spanish Grand Prix,Medium,14,coulthard,9,red_bull,17,12,0,#N/A,#N/A,#N/A,01:22.8,202.288,11,+1 Lap
79,21,2008,4,Spanish Grand Prix,Medium,11,sato,8,super_aguri,22,13,0,#N/A,#N/A,#N/A,01:24.6,198.045,11,+1 Lap
80,21,2008,4,Spanish Grand Prix,Medium,3,rosberg,3,williams,15,14,0,#N/A,#N/A,#N/A,01:23.3,201.13,5,Engine
81,21,2008,4,Spanish Grand Prix,Medium,4,alonso,4,renault,2,15,0,#N/A,#N/A,#N/A,01:22.7,202.677,5,Engine
82,21,2008,4,Spanish Grand Prix,Medium,22,barrichello,11,honda,11,16,0,#N/A,#N/A,#N/A,01:23.9,199.837,4,Collision
83,21,2008,4,Spanish Grand Prix,Medium,5,kovalainen,1,mclaren,6,17,0,#N/A,#N/A,#N/A,01:22.5,203.243,3,Accident
84,21,2008,4,Spanish Grand Prix,Medium,19,davidson,8,super_aguri,21,18,0,#N/A,#N/A,#N/A,01:26.9,192.922,21,Radiator
85,21,2008,4,Spanish Grand Prix,Medium,7,bourdais,5,toro_rosso,16,19,0,#N/A,#N/A,#N/A,01:26.0,194.862,4,Collision
86,21,2008,4,Spanish Grand Prix,Medium,12,piquet_jr,4,renault,10,20,0,#N/A,#N/A,#N/A,01:25.4,196.128,4,Collision
87,21,2008,4,Spanish Grand Prix,Medium,16,sutil,10,force_india,20,21,0,#N/A,#N/A,#N/A,\N,\N,4,Collision
88,21,2008,4,Spanish Grand Prix,Medium,20,vettel,5,toro_rosso,18,22,0,#N/A,#N/A,#N/A,\N,\N,4,Collision
89,22,2008,5,Turkish Grand Prix,Medium,13,massa,6,ferrari,1,1,10,#N/A,#N/A,#N/A,01:26.7,221.734,1,Finished
90,22,2008,5,Turkish Grand Prix,Medium,1,hamilton,1,mclaren,3,2,8,#N/A,#N/A,#N/A,01:26.5,222.085,1,Finished
91,22,2008,5,Turkish Grand Prix,Medium,8,raikkonen,6,ferrari,4,3,6,#N/A,#N/A,#N/A,01:26.5,222.144,1,Finished
92,22,2008,5,Turkish Grand Prix,Medium,9,kubica,2,bmw_sauber,5,4,5,#N/A,#N/A,#N/A,01:26.8,221.442,1,Finished
93,22,2008,5,Turkish Grand Prix,Medium,2,heidfeld,2,bmw_sauber,9,5,4,#N/A,#N/A,#N/A,01:27.2,220.328,1,Finished
94,22,2008,5,Turkish Grand Prix,Medium,4,alonso,4,renault,7,6,3,#N/A,#N/A,#N/A,01:27.3,220.174,1,Finished
95,22,2008,5,Turkish Grand Prix,Medium,17,webber,9,red_bull,6,7,2,#N/A,#N/A,#N/A,01:27.6,219.294,1,Finished
96,22,2008,5,Turkish Grand Prix,Medium,3,rosberg,3,williams,11,8,1,#N/A,#N/A,#N/A,01:27.8,218.882,1,Finished
97,22,2008,5,Turkish Grand Prix,Medium,14,coulthard,9,red_bull,10,9,0,#N/A,#N/A,#N/A,01:28.0,218.457,1,Finished
98,22,2008,5,Turkish Grand Prix,Medium,15,trulli,7,toyota,8,10,0,#N/A,#N/A,#N/A,01:27.9,218.556,1,Finished
99,22,2008,5,Turkish Grand Prix,Medium,18,button,11,honda,13,11,0,#N/A,#N/A,#N/A,01:28.0,218.377,11,+1 Lap
100,22,2008,5,Turkish Grand Prix,Medium,5,kovalainen,1,mclaren,2,12,0,#N/A,#N/A,#N/A,01:27.6,219.269,11,+1 Lap
101,22,2008,5,Turkish Grand Prix,Medium,10,glock,7,toyota,15,13,0,#N/A,#N/A,#N/A,01:28.3,217.623,11,+1 Lap
102,22,2008,5,Turkish Grand Prix,Medium,22,barrichello,11,honda,12,14,0,#N/A,#N/A,#N/A,01:28.0,218.33,11,+1 Lap
103,22,2008,5,Turkish Grand Prix,Medium,12,piquet_jr,4,renault,17,15,0,#N/A,#N/A,#N/A,01:27.9,218.703,11,+1 Lap
104,22,2008,5,Turkish Grand Prix,Medium,16,sutil,10,force_india,19,16,0,#N/A,#N/A,#N/A,01:28.8,216.454,11,+1 Lap
105,22,2008,5,Turkish Grand Prix,Medium,20,vettel,5,toro_rosso,14,17,0,#N/A,#N/A,#N/A,01:28.2,217.926,11,+1 Lap
106,22,2008,5,Turkish Grand Prix,Medium,7,bourdais,5,toro_rosso,18,18,0,#N/A,#N/A,#N/A,01:28.7,216.539,22,Suspension
107,22,2008,5,Turkish Grand Prix,Medium,6,nakajima,3,williams,16,19,0,#N/A,#N/A,#N/A,\N,\N,4,Collision
108,22,2008,5,Turkish Grand Prix,Medium,21,fisichella,10,force_india,20,20,0,#N/A,#N/A,#N/A,\N,\N,4,Collision
109,23,2008,6,Monaco Grand Prix,Very Hard,1,hamilton,1,mclaren,3,1,10,#N/A,#N/A,#N/A,01:18.5,153.152,1,Finished
110,23,2008,6,Monaco Grand Prix,Very Hard,9,kubica,2,bmw_sauber,5,2,8,#N/A,#N/A,#N/A,01:17.9,154.286,1,Finished
111,23,2008,6,Monaco Grand Prix,Very Hard,13,massa,6,ferrari,1,3,6,#N/A,#N/A,#N/A,01:17.9,154.379,1,Finished
112,23,2008,6,Monaco Grand Prix,Very Hard,17,webber,9,red_bull,9,4,5,#N/A,#N/A,#N/A,01:19.0,152.133,1,Finished
113,23,2008,6,Monaco Grand Prix,Very Hard,20,vettel,5,toro_rosso,19,5,4,#N/A,#N/A,#N/A,01:18.8,152.614,1,Finished
114,23,2008,6,Monaco Grand Prix,Very Hard,22,barrichello,11,honda,14,6,3,#N/A,#N/A,#N/A,01:19.6,151.104,1,Finished
115,23,2008,6,Monaco Grand Prix,Very Hard,6,nakajima,3,williams,13,7,2,#N/A,#N/A,#N/A,01:19.9,150.469,1,Finished
116,23,2008,6,Monaco Grand Prix,Very Hard,5,kovalainen,1,mclaren,4,8,1,#N/A,#N/A,#N/A,01:17.3,155.586,1,Finished
117,23,2008,6,Monaco Grand Prix,Very Hard,8,raikkonen,6,ferrari,2,9,0,#N/A,#N/A,#N/A,01:16.7,156.789,1,Finished
118,23,2008,6,Monaco Grand Prix,Very Hard,4,alonso,4,renault,7,10,0,#N/A,#N/A,#N/A,01:17.9,154.413,11,+1 Lap
119,23,2008,6,Monaco Grand Prix,Very Hard,18,button,11,honda,11,11,0,#N/A,#N/A,#N/A,01:19.6,151.089,11,+1 Lap
120,23,2008,6,Monaco Grand Prix,Very Hard,10,glock,7,toyota,10,12,0,#N/A,#N/A,#N/A,01:19.6,151.021,11,+1 Lap
121,23,2008,6,Monaco Grand Prix,Very Hard,15,trulli,7,toyota,8,13,0,#N/A,#N/A,#N/A,01:19.8,150.62,11,+1 Lap
122,23,2008,6,Monaco Grand Prix,Very Hard,2,heidfeld,2,bmw_sauber,12,14,0,#N/A,#N/A,#N/A,01:20.3,149.829,14,+4 Laps
123,23,2008,6,Monaco Grand Prix,Very Hard,16,sutil,10,force_india,18,15,0,#N/A,#N/A,#N/A,01:22.0,146.564,4,Collision
124,23,2008,6,Monaco Grand Prix,Very Hard,3,rosberg,3,williams,6,16,0,#N/A,#N/A,#N/A,01:21.3,147.951,3,Accident
125,23,2008,6,Monaco Grand Prix,Very Hard,12,piquet_jr,4,renault,17,17,0,#N/A,#N/A,#N/A,01:31.2,131.86,3,Accident
126,23,2008,6,Monaco Grand Prix,Very Hard,21,fisichella,10,force_india,20,18,0,#N/A,#N/A,#N/A,01:32.8,129.5,6,Gearbox
127,23,2008,6,Monaco Grand Prix,Very Hard,14,coulthard,9,red_bull,15,19,0,#N/A,#N/A,#N/A,01:42.1,117.753,3,Accident
128,23,2008,6,Monaco Grand Prix,Very Hard,7,bourdais,5,toro_rosso,16,20,0,#N/A,#N/A,#N/A,01:41.2,118.872,4,Collision
129,24,2008,7,Canadian Grand Prix,Easy,9,kubica,2,bmw_sauber,2,1,10,#N/A,#N/A,#N/A,01:17.5,202.473,1,Finished
130,24,2008,7,Canadian Grand Prix,Easy,2,heidfeld,2,bmw_sauber,8,2,8,#N/A,#N/A,#N/A,01:17.4,202.758,1,Finished
131,24,2008,7,Canadian Grand Prix,Easy,14,coulthard,9,red_bull,13,3,6,#N/A,#N/A,#N/A,01:18.1,201.057,1,Finished
132,24,2008,7,Canadian Grand Prix,Easy,10,glock,7,toyota,11,4,5,#N/A,#N/A,#N/A,01:19.1,198.51,1,Finished
133,24,2008,7,Canadian Grand Prix,Easy,13,massa,6,ferrari,6,5,4,#N/A,#N/A,#N/A,01:18.0,201.261,1,Finished
134,24,2008,7,Canadian Grand Prix,Easy,15,trulli,7,toyota,14,6,3,#N/A,#N/A,#N/A,01:18.9,199.056,1,Finished
135,24,2008,7,Canadian Grand Prix,Easy,22,barrichello,11,honda,9,7,2,#N/A,#N/A,#N/A,01:18.3,200.503,1,Finished
136,24,2008,7,Canadian Grand Prix,Easy,20,vettel,5,toro_rosso,19,8,1,#N/A,#N/A,#N/A,01:18.5,199.913,1,Finished
137,24,2008,7,Canadian Grand Prix,Easy,5,kovalainen,1,mclaren,7,9,0,#N/A,#N/A,#N/A,01:18.5,200.091,1,Finished
138,24,2008,7,Canadian Grand Prix,Easy,3,rosberg,3,williams,5,10,0,#N/A,#N/A,#N/A,01:18.0,201.336,1,Finished
139,24,2008,7,Canadian Grand Prix,Easy,18,button,11,honda,20,11,0,#N/A,#N/A,#N/A,01:19.4,197.847,1,Finished
140,24,2008,7,Canadian Grand Prix,Easy,17,webber,9,red_bull,10,12,0,#N/A,#N/A,#N/A,01:18.2,200.759,1,Finished
141,24,2008,7,Canadian Grand Prix,Easy,7,bourdais,5,toro_rosso,18,13,0,#N/A,#N/A,#N/A,01:18.6,199.689,11,+1 Lap
142,24,2008,7,Canadian Grand Prix,Easy,21,fisichella,10,force_india,17,14,0,#N/A,#N/A,#N/A,01:19.1,198.563,20,Spun off
143,24,2008,7,Canadian Grand Prix,Easy,6,nakajima,3,williams,12,15,0,#N/A,#N/A,#N/A,01:18.8,199.273,3,Accident
144,24,2008,7,Canadian Grand Prix,Easy,4,alonso,4,renault,4,16,0,#N/A,#N/A,#N/A,01:18.2,200.697,20,Spun off
145,24,2008,7,Canadian Grand Prix,Easy,12,piquet_jr,4,renault,15,17,0,#N/A,#N/A,#N/A,01:19.2,198.129,23,Brakes
146,24,2008,7,Canadian Grand Prix,Easy,8,raikkonen,6,ferrari,3,18,0,#N/A,#N/A,#N/A,01:17.4,202.871,4,Collision
147,24,2008,7,Canadian Grand Prix,Easy,1,hamilton,1,mclaren,1,19,0,#N/A,#N/A,#N/A,01:17.5,202.559,4,Collision
148,24,2008,7,Canadian Grand Prix,Easy,16,sutil,10,force_india,16,20,0,#N/A,#N/A,#N/A,01:20.7,194.624,6,Gearbox
149,25,2008,8,French Grand Prix,Medium,13,massa,6,ferrari,2,1,10,#N/A,#N/A,#N/A,01:16.7,206.956,1,Finished
150,25,2008,8,French Grand Prix,Medium,8,raikkonen,6,ferrari,1,2,8,#N/A,#N/A,#N/A,01:16.6,207.224,1,Finished
151,25,2008,8,French Grand Prix,Medium,15,trulli,7,toyota,4,3,6,#N/A,#N/A,#N/A,01:17.6,204.721,1,Finished
152,25,2008,8,French Grand Prix,Medium,5,kovalainen,1,mclaren,10,4,5,#N/A,#N/A,#N/A,01:17.1,205.87,1,Finished
153,25,2008,8,French Grand Prix,Medium,9,kubica,2,bmw_sauber,5,5,4,#N/A,#N/A,#N/A,01:17.2,205.768,1,Finished
154,25,2008,8,French Grand Prix,Medium,17,webber,9,red_bull,6,6,3,#N/A,#N/A,#N/A,01:17.5,204.879,1,Finished
155,25,2008,8,French Grand Prix,Medium,12,piquet_jr,4,renault,9,7,2,#N/A,#N/A,#N/A,01:17.8,204.218,1,Finished
156,25,2008,8,French Grand Prix,Medium,4,alonso,4,renault,3,8,1,#N/A,#N/A,#N/A,01:17.6,204.525,1,Finished
157,25,2008,8,French Grand Prix,Medium,14,coulthard,9,red_bull,7,9,0,#N/A,#N/A,#N/A,01:17.8,204.06,1,Finished
158,25,2008,8,French Grand Prix,Medium,1,hamilton,1,mclaren,13,10,0,#N/A,#N/A,#N/A,01:17.5,205.022,1,Finished
159,25,2008,8,French Grand Prix,Medium,10,glock,7,toyota,8,11,0,#N/A,#N/A,#N/A,01:17.8,204.013,1,Finished
160,25,2008,8,French Grand Prix,Medium,20,vettel,5,toro_rosso,12,12,0,#N/A,#N/A,#N/A,01:17.8,204.212,1,Finished
161,25,2008,8,French Grand Prix,Medium,2,heidfeld,2,bmw_sauber,11,13,0,#N/A,#N/A,#N/A,01:17.7,204.328,1,Finished
162,25,2008,8,French Grand Prix,Medium,22,barrichello,11,honda,20,14,0,#N/A,#N/A,#N/A,01:18.0,203.665,11,+1 Lap
163,25,2008,8,French Grand Prix,Medium,6,nakajima,3,williams,15,15,0,#N/A,#N/A,#N/A,01:18.1,203.443,11,+1 Lap
164,25,2008,8,French Grand Prix,Medium,3,rosberg,3,williams,19,16,0,#N/A,#N/A,#N/A,01:18.3,202.776,11,+1 Lap
165,25,2008,8,French Grand Prix,Medium,7,bourdais,5,toro_rosso,14,17,0,#N/A,#N/A,#N/A,01:18.2,203.022,11,+1 Lap
166,25,2008,8,French Grand Prix,Medium,21,fisichella,10,force_india,17,18,0,#N/A,#N/A,#N/A,01:18.6,202.141,11,+1 Lap
167,25,2008,8,French Grand Prix,Medium,16,sutil,10,force_india,18,19,0,#N/A,#N/A,#N/A,01:18.5,202.385,11,+1 Lap
168,25,2008,8,French Grand Prix,Medium,18,button,11,honda,16,20,0,#N/A,#N/A,#N/A,01:20.9,196.345,4,Collision
169,26,2008,9,British Grand Prix,Easy,1,hamilton,1,mclaren,4,1,10,#N/A,#N/A,#N/A,01:32.8,199.398,1,Finished
170,26,2008,9,British Grand Prix,Easy,2,heidfeld,2,bmw_sauber,5,2,8,#N/A,#N/A,#N/A,01:32.7,199.609,1,Finished
171,26,2008,9,British Grand Prix,Easy,22,barrichello,11,honda,16,3,6,#N/A,#N/A,#N/A,01:33.4,198.183,1,Finished
172,26,2008,9,British Grand Prix,Easy,8,raikkonen,6,ferrari,3,4,5,#N/A,#N/A,#N/A,01:32.2,200.842,11,+1 Lap
173,26,2008,9,British Grand Prix,Easy,5,kovalainen,1,mclaren,1,5,4,#N/A,#N/A,#N/A,01:33.1,198.728,11,+1 Lap
174,26,2008,9,British Grand Prix,Easy,4,alonso,4,renault,6,6,3,#N/A,#N/A,#N/A,01:33.1,198.722,11,+1 Lap
175,26,2008,9,British Grand Prix,Easy,15,trulli,7,toyota,14,7,2,#N/A,#N/A,#N/A,01:33.8,197.292,11,+1 Lap
176,26,2008,9,British Grand Prix,Easy,6,nakajima,3,williams,15,8,1,#N/A,#N/A,#N/A,01:34.3,196.31,11,+1 Lap
177,26,2008,9,British Grand Prix,Easy,3,rosberg,3,williams,20,9,0,#N/A,#N/A,#N/A,01:34.8,195.234,11,+1 Lap
178,26,2008,9,British Grand Prix,Easy,17,webber,9,red_bull,2,10,0,#N/A,#N/A,#N/A,01:33.0,199.109,11,+1 Lap
179,26,2008,9,British Grand Prix,Easy,7,bourdais,5,toro_rosso,13,11,0,#N/A,#N/A,#N/A,01:33.4,198.224,11,+1 Lap
180,26,2008,9,British Grand Prix,Easy,10,glock,7,toyota,12,12,0,#N/A,#N/A,#N/A,01:34.6,195.619,11,+1 Lap
181,26,2008,9,British Grand Prix,Easy,13,massa,6,ferrari,9,13,0,#N/A,#N/A,#N/A,01:33.3,198.458,12,+2 Laps
182,26,2008,9,British Grand Prix,Easy,9,kubica,2,bmw_sauber,10,14,0,#N/A,#N/A,#N/A,01:33.5,197.859,20,Spun off
183,26,2008,9,British Grand Prix,Easy,18,button,11,honda,17,15,0,#N/A,#N/A,#N/A,01:33.4,198.205,20,Spun off
